# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/collections/jewelmintsale2,94,4.60,00:04:08,100.00%,53.19%
www.jewelmint.com/collections/jewelmintsale3,94,2.33,00:00:58,100.00%,47.87%
www.jewelmint.com/collections/shop-40-and-under,94,1.85,00:00:30,100.00%,63.83%
start.jewelmint.com/jm-mobile?aid=1$sem$p1466$c2092$4678&ref=m2lp&dref=http://www.bing.com/search/?q=jewelmint&a=results&MID=2500,89,1.06,00:00:05,100.00%,94.38%
www.jewelmint.com/jewelry/luna-link-ring?aid=1$fb$p475$c1832$4356,89,1.39,00:00:48,100.00%,89.89%
www.jewelmint.com/jewelry/petite-compass-pendant?aid=1$fb$p475$c1832$4356,89,1.67,00:01:42,100.00%,89.89%
www.jewelmint.com/jewelry/queen-of-hearts-ring?aid=1$fb$p475$c1832$4356,89,2.01,00:01:24,100.00%,84.27%
www.jewelmint.com/trends,89,3.07,00:00:59,100.00%,67.42%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=102206225812196130708,84,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/collections/collective-rings,84,2.31,00:00:54,100.00%,53.57%
www.jewelmint.com/collections/jewelmintsale?aid=1$internal-email$p940$c3949$8855,84,2.85,00:03:31,100.00%,65.48%
www.jewelmint.com/jewelry/anatomical-heart-necklace,84,1.06,00:00:00,100.00%,95.24%
www.jewelmint.com/pages/jm-categories-allinone/?view=favorites&filter=show_all,84,1.18,00:00:29,100.00%,95.24%
start.jewelmint.com/jm-mobile?aid=1$sem$p1466$c2092$4678&ref=m2lp&dref=http://search.yahoo.com/mobile/s?rewrite=72&.tsrc=apple&first=1&p=jewelmint&pintl=en&pcarrier=AT&T=&pmcc=310&pmnc=410&fr=onesearch,80,1.00,00:00:00,100.00%,100.00%
start.jewelmint.com/k/fbbib/shop,80,8.39,00:04:59,100.00%,12.50%
www.jewelmint.com/collections/best-sellers-jm?aid=1$internal-email$p940$c3949$8855,80,3.05,00:04:27,100.00%,56.25%
www.jewelmint.com/pages/jm-categories-allinone?view=earrings&filter=show_all,80,1.18,00:00:32,100.00%,87.50%
qa5-dev.jewelmint.com/login,75,3.12,00:02:21,100.00%,6.67%
start.jewelmint.com/k/fbbib/?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=3_0,75,6.49,00:06:23,100.00%,20.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=1021731932431566130711,75,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/collections/punk-chaos,75,2.79,00:02:42,100.00%,73.33%
www.jewelmint.com/jewelry/blushing-bouquet-ring?aid=1$fb$p475$c1832$4356,75,1.07,00:00:01,100.00%,93.33%
www.jewelmint.com/jewelry/celebration-necklace,75,2.99,00:01:16,100.00%,66.67%
www.jewelmint.com/jewelry/double-ab-bracelet?aid=1$fb$p475$c1832$4356,75,2.45,00:01:10,100.00%,46.67%
www.jewelmint.com/jewelry/wild-kingdom-ring?aid=1$fb$p475$c1832$4356,75,4.51,00:05:41,100.00%,40.00%
www.jewelmint.com/pages/jm-categories-allinone/?view=earrings&filter=show_jewelmint,75,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/style-profile/,75,3.91,00:02:05,100.00%,40.00%
www.youtube.com/user/JewelMint?feature=watch,75,1.85,00:01:51,100.00%,46.67%
www.jewelmint.com/collections/city-safari,70,1.99,00:01:19,100.00%,64.29%
www.jewelmint.com/collections/hand-chains?aid=1$fb$p475$c1832$4356,70,3.06,00:00:56,100.00%,71.43%
www.jewelmint.com/collections/oia-jules,70,1.34,00:00:09,100.00%,78.57%
www.jewelmint.com/featured-in/?aid=1$sem$p9$c2269$4938,70,6.81,00:02:59,100.00%,57.14%
www.jewelmint.com/jewelry/aurum-diamond-necklace,70,3.69,00:01:54,100.00%,85.71%
www.jewelmint.com/jewelry/festival-duo-bracelets?aid=1$fb$p475$c1832$4356,70,1.14,00:00:01,100.00%,85.71%
www.jewelmint.com/jewelry/gold-rush-wrap-bracelet?aid=1$aff$p3722$c4682$8867,70,1.27,00:00:13,100.00%,85.71%
www.jewelmint.com/jewelry/luca-necklace?aid=1$fb$p475$c1832$4356,70,1.63,00:00:29,100.00%,42.86%
www.jewelmint.com/our-designs/,70,5.69,00:01:56,100.00%,35.71%
start.jewelmint.com/k/fbbib/,65,2.29,00:00:49,100.00%,84.62%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=1022162452052146130629,65,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=1021802541441806130704,65,1.23,00:00:07,100.00%,84.62%
www.jewelmint.com/collections/breakfast-at-tiffanys,65,1.29,00:00:09,100.00%,69.23%
www.jewelmint.com/collections/jm-whats-new-all?redir_ct=1,65,3.82,00:05:54,100.00%,53.85%
www.jewelmint.com/collections/rose-gold,65,7.95,00:05:40,100.00%,69.23%
www.jewelmint.com/invite/68e4fd86e03109a53a4e9f90cc4be8c9&sc=invite-link&utm_source=invite-link&utm_campaign=social-invite,65,5.66,00:02:35,100.00%,23.08%
www.jewelmint.com/invite/7c6ec3faa6b1155cddcd301695d01b22&sc=invite-link&utm_source=invite-link&utm_campaign=social-invite,65,3.68,00:01:17,100.00%,69.23%
www.jewelmint.com/jewelry/double-jaguar-bangle?aid=1$fb$p475$c1832$4356,65,1.91,00:02:49,100.00%,69.23%
www.jewelmint.com/jewelry/luxe-lioness-bracelet?aid=1$fb$p475$c1832$4356,65,5.35,00:03:24,100.00%,53.85%
www.jewelmint.com/jewelry/ombre-spear-set,65,1.83,00:01:20,100.00%,69.23%
www.jewelmint.com/jewelry/rose-gold-leather-bit-cuff,65,1.75,00:00:15,100.00%,84.62%
www.jewelmint.com/jewelry/summer-mystery-box?aid=1$internal-email$p117$c3950$8820,65,1.68,00:00:31,100.00%,53.85%
www.jewelmint.com/jewelry/the-golden-ore-ring?aid=1$fb$p475$c1832$4356,65,3.14,00:03:04,100.00%,84.62%
www.jewelmint.com/showroom?aid=1$eir$p117$c2772$6099,65,4.35,00:02:18,100.00%,23.08%
start.jewelmint.com/jm-mobile?aid=1$sem$p1466$c2092$4678&ref=m2lp&dref=http://search.yahoo.com/mobile/s?rewrite=72&.tsrc=apple&first=1&p=jewelmint.com&pintl=en&pcarrier=Verizon&pmcc=310&pmnc=038&fr=onesearch,60,1.08,00:00:33,100.00%,91.67%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=10236682341346130705,60,1.17,00:00:03,100.00%,91.67%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=1023668247656130706,60,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/collections/diy-necklaces,60,1.90,00:00:42,100.00%,66.67%
www.jewelmint.com/invite/3e29c1cd3800a03065ba3cd122fb9687&sc=invite-link&utm_source=invite-link&utm_campaign=social-invite,60,1.48,00:00:05,100.00%,58.33%
www.jewelmint.com/jewelry/brass-bunting-necklace,60,1.40,00:00:36,100.00%,66.67%
www.jewelmint.com/jewelry/chevron-tribal-earrings,60,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/jewelry/goddess-wreath-necklace,60,3.65,00:01:19,100.00%,58.33%
www.jewelmint.com/jewelry/open-arrow-rings,60,2.73,00:00:55,100.00%,66.67%
www.jewelmint.com/jewelry/sterling-silver-snake-earrings?aid=1$aff$p3722$c4682$8867,60,1.17,00:00:15,100.00%,91.67%
www.jewelmint.com/jewelry/the-kendra-statement-necklace?aid=1$fb$p475$c1832$4356,60,2.15,00:01:24,100.00%,25.00%
www.jewelmint.com/style-profile?inv=b4ede738bc89370e04afccfaf4a633d9&sc=invite-link,60,8.95,00:04:59,100.00%,25.00%
qa5-dev.jewelmint.com/get-started,55,4.60,00:01:14,100.00%,18.18%
stage-prod.jewelmint.com/login,55,3.98,00:03:14,100.00%,27.27%
start.jewelmint.com/jm-mobile?ref=m2lp&dref=,55,1.45,00:01:36,100.00%,72.73%
start.jewelmint.com/k/fbbib/product/850,55,1.00,00:00:00,100.00%,100.00%
start.jewelmint.com/k/fbbib/shop/ring,55,2.35,00:00:58,100.00%,36.36%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=10236762051836130704,55,1.18,00:00:01,100.00%,81.82%
www.jewelmint.com/collections/road-less-traveled,55,6.33,00:05:49,100.00%,45.45%
www.jewelmint.com/collections/shop-70-and-under,55,3.35,00:04:04,100.00%,45.45%
www.jewelmint.com/jewelry/dream-come-true-necklace,55,1.53,00:01:05,100.00%,54.55%
